,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.31457446870831596,0.12006756654835886,0.34960259531676796,0.3327383538157263,0.08678971499742553,R
1,0.35492186868804415,0.28138897000087054,0.08603050091784953,0.5256035102986654,0.5285543262376459,R
2,0.32499948669156425,0.28963718923320886,0.3161758227437493,0.3079177725183121,0.0632531828860509,R
3,0.7158350550685362,0.4264786078633445,0.7916590548695499,0.733440869761539,0.6975041764776528,M
4,0.612430318232809,0.7375113924931103,0.922184040034052,0.6634187955120647,0.7215495846519944,M
5,0.9619666250174577,0.9709255953428926,0.7042858304408216,0.5792153789824293,0.8961876224529752,M
6,0.4762937817923971,0.8867952551067921,0.4841668928507967,0.48407829415193243,0.702336527921998,M
7,0.7593879138219275,0.6928988114840261,0.8648694429515769,0.5568543616375425,0.8438732259840309,M
8,0.14023773460908523,0.3573731028344673,0.3486041128075814,0.45670811500017117,0.40384756870644134,R
9,0.038401516426706854,0.12719357693138347,0.09049739810214977,0.45426926810879636,0.4921955442823739,R
10,0.6486110427262113,0.49589737381193383,0.7637316622208354,0.7778629836176899,0.7989984268064865,M
11,0.5186237007765506,0.49722172924345387,0.7507079199651999,0.5938936052209136,0.7958742977337183,M
12,0.5296409598691366,0.9610023238180261,0.9384168292732,0.6145087895140846,0.5545335525953886,M
13,0.014701581375840076,0.24662820442674657,0.19158828882846582,0.10551429761013677,0.5566296985952481,R
14,0.6634003327591791,0.5389356308514794,0.849383771941561,0.5536119896313639,0.6092079924979522,M
15,0.43894233023803997,0.3973095256888166,0.2045736366955865,0.26085670430065927,0.21972173350440113,R
16,0.5643767087359931,0.4230285743809198,0.3435995330171681,0.2984631323605552,0.20877599975467404,R
17,0.4717757892781149,0.5282482007904545,0.4405538127947184,0.9270590009802469,0.947637290764747,M
18,0.21894441224933817,0.37611527404938483,0.3192973861693555,0.0389715647881216,0.09233179444401375,R
19,0.16906503921521732,0.21010970444963678,0.05985613845103709,0.1473771105546746,0.5533289653866738,R
20,0.9149327227007584,0.9278047574068438,0.4805062481600848,0.5955022102566093,0.570511237429333,M
21,0.42748699722183287,0.44328226721854624,0.3061487609709546,0.2285481989161773,0.35630508781573744,R
22,0.33442529776231406,0.44564539972260747,0.3337946983056554,0.14214939863682027,0.1734560111877683,R
23,0.9089627686588109,0.735384520347246,0.5148943949206233,0.4846116627940579,0.5291426330127376,M
24,0.8832549498953755,0.7269194224516216,0.9725982501618751,0.8503388913614304,0.8948916668984117,M
25,0.04060422822876321,0.07845102412848014,0.2615641109083355,0.21599891424581447,0.14724326765912632,R
26,0.9342933236056912,0.7579477978341556,0.8261874149787547,0.9788708968317492,0.851501286556139,M
27,0.48100294264964,0.45749429001686437,0.23835530282437414,0.03152190962839183,0.4196090834314934,R
28,0.522697055678352,0.7940939539615661,0.49918662978563094,0.7642406857567494,0.5153721677799527,M
29,0.33755851028201017,0.1550137730281273,0.24740529964621416,0.019597969527992715,0.30718583493214185,R
30,0.8972889749297371,0.9285632461683628,0.536635838449116,0.6482562688832869,0.455833254703546,M
31,0.17446008422837544,0.2296680033515335,0.20548792562966206,0.545718035155212,0.061929309931477265,R
32,0.5241025864665324,0.648949577078337,0.8992223532646797,0.9093998406236925,0.5820250244703982,M
33,0.9915130955534308,0.6391358026615798,0.66015158423502,0.7427357478218328,0.4222417802729078,M
34,0.37237567469475785,0.28402119565144773,0.42770340372970683,0.5507912269545413,0.05659437061311981,R
35,0.8395268933457631,0.749350061423015,0.42672663758004514,0.41650863598013865,0.5757149651259809,M
36,0.06927589344490657,0.07247625099283289,0.17946649816133808,0.25191097045582,0.2612689121283933,R
37,0.6794354137632047,0.6460300456135505,0.4554602878226008,0.4394493909932226,0.7444723352916858,M
38,0.07756852026805174,0.12586041929991396,0.5003825798866377,0.5090501066267912,0.4166203613317288,R
39,0.5986422326826556,0.8163357968850995,0.9119314510947366,0.8912267055388676,0.7659755165247784,M
40,0.9764534123391497,0.6228730794860817,0.617938666447974,0.8994255441591421,0.6768943332097679,M
41,0.1166772397656987,0.47048281531290326,0.262999476972037,0.512254425988259,0.5673731283400893,R
42,0.8220285939271383,0.443416543066912,0.8701836285711675,0.8868442212091793,0.8203139842395556,M
43,0.3682671296932729,0.11769475882835007,0.32540374374885417,0.24757694847693168,0.019746157295000358,R
44,0.8093230226869887,0.5787044292798227,0.5034160488717645,0.8932507257049451,0.7963970049546338,M
45,0.18339834805261374,0.46854789190601875,0.2251276052745657,0.07144230520646865,0.5372089131921258,R
46,0.6346924793394083,0.9175187823420867,0.8000343560854126,0.9854508890478011,0.49717068370873674,M
47,0.5597717963374634,0.554997683179829,0.1430326195747422,0.3138199839487861,0.08651814453091339,R
48,0.792782279623107,0.8313412110529169,0.9364312907338654,0.8230085830864082,0.6069241847195456,M
49,0.8692986542779624,0.898691177687968,0.9366051114308709,0.8473513865372404,0.9711927126936792,M
50,0.4972559753012257,0.7030559066546839,0.9506945398950528,0.4831189548980851,0.563137712068666,M
51,0.8280569760414018,0.6375602855692964,0.7653173349175535,0.4856873455941123,0.6805661875418187,M
52,0.49385915825333615,0.22311112847009398,0.46129005158649344,0.3205742557137989,0.019260132221841267,R
53,0.6911028979306573,0.5452166493099276,0.784826866062686,0.6612487296441909,0.48840478924113456,M
54,0.7663036303435891,0.5092817594592194,0.9978573593365208,0.7728473095459529,0.6250101222146816,M
55,0.12744908697467927,0.47714812386781985,0.25612841577982415,0.29719422082106733,0.4108917368211644,R
56,0.46885993989856145,0.8846320836393646,0.8894338452131133,0.564391933438,0.7594972149554365,M
